4	Vanali	SRMPDNS	SDPMRS
4	Vallika	SRGPNS	SNPGRS
4	Vitapi	SRMPDS	SDPMRS
5	Abhimanini	SRGMDNS	SNDMGRS
5	Bhoopala Manohari	SGMPDNS	SNDPMGS
5	Chitramani	SRMPDNS	SNDPMGRS
5	Ghanashyamalangi	SGMPDNPSS	SNDPMGRS
5	Jothsnapriya	SRGDNS	SNDGRS
5	Kaumathi	SRGPDNS	SDPGRS
5	Meenalochani	SRGMPDNPS	SNDMGRS
5	Rasavarali	SRGMPDNDS	SNDPMGRS
5	Saaghu	SGPDNS	SNDPGS
5	Saarika	SRGPNS	SNPGRS
5	Sravanthi	SGMDNS	SNDMGS
6	Bhinna Nishadam	SRGMDS	SDMGRS
6	Chayanarayani	SPMPDNS	SNDNPMGRS
6	Desyanarayani	SRGMPNS	SNDNPMRS
6	Desyasurati	SMRGMPDN	PMGRSNS
6	Easwari	SRGMPDS	SDPMGRS
6	Gnanaswarupini	SRGPDS	SDPGRS
6	Gowlamalavi	SRGMPDNPNS	SPDNPMGRS
6	Kamalapathi	SGPDNS	SNDPGS
6	Karunipriya	SRGDNS	SNDGRS
6	Kashmira	SRGPDNS	SNDPGRS
6	Mahila	SGMPDNS	SNDPMGS
6	Nadarupi	SRGMDNS	SNDMGRS
6	Sahyaja	SGMPDS	SDPMGS
6	Sindhumalavi	SRGMPDNPNS	SNPMRS
6	Srimalavi	SRGMPNDNPS	SPMGRS
6	Srungarini	SRGMPS	SNDPMGRS
6	Sringaramani	SRGMPNS	SNDPMGRS
6	Tharunipriya	SRGDNS	SNDGRS
6	Thilakaprakasini	SRGMPDNS	SNPMGRS
6	Vipuni	SGMDNS	SNDMGS
6	Vibhavari	SRMPDS	SDPMRS
7	Anguru	SGMDNS	SNDMGS
7	Anikini	SRGMDNS	SNDMGRS
7	Bhama Gaula	DSRGMPDN	DPMGRSNDP
7	Bhanu Gaula	DSRGMPDN	DPMGRSNDP
7	Bhoga Ranjani	SRGMPDS	SNDPMGRS
7	Chinthamani	SRGMSMPDNS	SDNPMGRS
7	Chitthakarshini	SRGMDS	SDMGRS
7	Chirandi	SRGPDNS	SNDPGRS
7	Dheergika	SRGDNS	SNDGRS
7	Gowla Chandrika	SRMPDS	SNDPGRS
7	Hamsa Nandana	SRGMPS	SPMGRS
7	Hamsa Nandi	SRGMPS	SPMGRS
7	Isa Gowla	SMGMPDNS	SDPDMGRS
7	Karathoya	SRGMPNS	SNPMGRS
7	Kala Saveri	SRGMPDNS	SNDPMGRS
7	Malaya Jalaepini	SRGMNS	SNMGRS
7	Malini	SRGMPS	SNDMGRS
7	Margini	SRGMPS	SNDMGRS
7	Raja Ranjini	SRGPNS	SNPGRS
7	Saindava Gowla	SRGMPDNS	SNDMGMRS
7	Saindava Gowri	SRGMPDNS	SNDMGMRS
7	Senapathi	SRGMPNS	SNDPDMGRS
7	Shashi Manjari	SGMPDNS	SNDPGRS
7	Sindhu Gowri	SGRGMPS	SDPMGRS
7	Sindhu Mukhari	SGRGMPS	SDPMGRS
7	Swarna Malli	SGMPDNS	SNDPMGRS
7	Vasantha Gowla	SRGMPDNS	SNDPMGRS
7	Veetika	SGMPNS	SNPMGS
8	Adbhoda	SGMDNS	SNDMGS
8	Amritha Dhanyasi	SRGMPNS	SNPMGRS
8	Ambikai Priyan	SRGPDNS	SNDMGRS
8	Ananda Guhan	SRGPDS	SNDPMGRS
8	Asaveri Thodi	SRMPDNS	SNDPMGRS
8	Bhadra Todi	SRGMDS	SNDPGS
8	Bhanu Chandrika	SMDNS	SNDMGS
8	Bharathi	SRGMPDNS	SNPMGRS
8	Bhaskaran	SRGPNS	SNPGRS
8	Bhishmavali	SGRGMDPNDS	SNDGRS
8	Chandrika Thodi	SGMPDS	SDPMGS
8	Chandra Gandharam	SRGMS	SDMGRS
8	Chandra Kantha	SRGMPDNS	SPDNDP
8	Chandrika Gowla	SRGMPDS	SDPMRS
8	Chaya Bauli	SRGMSPMDNS	SNPDMGRS
8	Desiya Bangala	SRGMPDNS	SDPMGRS
8	Desiya Thodi	SGMPDNS	SNDPGMRS
8	Dhanyasi	SGMPNS	SNDPMGRS
8	Dhavala Kesari	SRGMPDNS	SNPMGS
8	Dheera Varali	SGMDS	SNDPMGRS
8	Dhivyamavathi	SGMPDNS	SNDPMGS
8	Gambhira Vasantha	SMGMRGM	PNDNPDNS
8	Gnanamani	SGMPDNS	SNDMGS
8	Gomurthikam	SRGMPNDS	SNDPMGRS
8	Himangi	SRGMPDNDS	SNPDMGRS
8	Hindolam	SGMDNS	SNDMGS
8	Hiranya Lalitha	SGRGMPNS	SDPMGRS
8	Indu Saranganata	SRGMPMDNS	SDPMGRS
8	Jana Thodi	SRGMPDNS	SNDPMGRS
8	[anya Thodi	SRGMDNS	SNDMGRS
8	Kalahamsa Gamini	SRGMPNS	SNPMGRS
8	Kanaka Mandana	SRGMPDNS	SDPMPGRS
8	Kashyapi	SRGPDNS	SNDPGRS
8	Khadga Dharini	SRPDNS	SNDPRS
8	Khadhyotha Priya	SRMDNS	SNDMRS
8	Khantha Dhanyasi	SGMPNS	SNDPNPMGRS
8	Kshanika	SGMPDS	SDPMGS
8	Kujhan	SGPNS	SNDPMGRS
8	Madhupathi	SGPDS	SDPGS
8	Makara Nandana Priya	SRMPDNS	SNPMGS
8	Maha Sukavathi	SRGMPNS	SNDMGS
8	Mala Kosh	NSGMDNS	SNDMGS
8	Malarone	SGMPDS	SNDPMGRS
8	Maudha Dhanyasi	SGMPNS	SNDPMPNPMG
8	Mrigakshi	SGMPNS	SRGMNS
8	Nadha Giri	SRGMPNS	SNPMGRS
8	Nadha Tali	SRGMNS	SNDPMGRS
8	Nagamandalam	SRGMNS	SRGMPNS
8	Navasuthika	SRGDNS	SNDGRS
8	Nisakaran	SRMPDS	SDPMRS
8	Parithi	SRMPNS	SNPMRS
8	Prabhu Priya	SGMPDS	SDPMGS
8	Punnaga Thodi	NDNSRGMPDN	DPMGRSNDNS
8	Punnaga Varali	NSRGMPDN	DPMGRSN
8	Raegupthi	SRGPDS	SDPGPGRS
8	Rajathavali	SRGMPDNS	SNDMGPRS
8	Rajachintamani	SRMPNS	SNDMGRS
8	Rambhavali	SRMPDS	SNPMGRMS
8	Rasa Prathapa	SRGMNS	SNDPMGRS
8	Ravana Priya	SRGMPDNS	SDPMGS
8	Rengathodi	SGMPDNS	SNDPMGRS
8	Rukmangi	SRGPNS	SNPGRS
8	Saka Tholarava	SRMPDS	SNDNPMGRS
8	Sampradaya Thodi	SRGMDNS	SNDMGRS
8	Sarathi Gowla	NSRGMPDNS	SNPMGRS
8	Shaka Mukhi	SRMGMDNS	SNDPMRMGS
8	Shardola rava	SRMPDS	SNDNPMGRS
8	Sivanandam	SRGMPDNS	SNPMRS
8	Sindhu Saveri	SRMPDS	SNPGS
8	Somurthika	SRGMPNDS	SNDPMGRS
8	Sowjanya	SRMDS	SDMRS
8	Suddha Maruva	SGMPDS	SDPMRGRS
8	Suddha Samantham	DSRMPD	DPMGRSDS
8	Suddha Seemanthi	SRGMPDS	SDPMGRS
8	Suddha Thodi	SRGMDNS	SNDMGRS
8	Sukra Vardhana	SRGMDNS	SNDNPDPM
8	Swarna Mallika	SGMPDNS	SNDPMGRS
8	Sravana Mallika	SGMPDNS	SNDPMGRS
8	Tharanga	SGPDNS	SNDPGS
8	Thodi	SRGMDNS	SNDMGRS
8	Vakkal	SRMPDNS	SNDPMRS
8	Vajrahasitha	SRGMPDNS	SNDPMRS
8	Vali Thodi	SRGMPDNS	SDPGRS
8	Vasantha Leelavati	SRMPNS	SNDMGRS
8	Vasantha Srimani	SGMPNS	SNDMGRS
8	Veeravarali	SRMDS	SNDPMGRS
9	Bhagesri Bahar	SRGMPNS	SNSNPMGRS
9	Bhargavi	SGMPDNS	SNDPMGS
9	Bhauman	SRMPDS	SNPMGS
9	Bhoga Varali	SRGMPNS	SNPMGRS
9	Bhinna Shadjam	SRGRPMPNS	SDPMGRS
9	Bhoopalam	SRGPDS	SDPGRS
9	Chandrika	SGMDNS	SNDMGS
9	Dakka	SRMGMPDNS	SDPMMGRGS
9	Deshyandhali	SRGMPNDS	SDPMGRS
9	Desika Rudri	SMRGMPNS	SNPDMGRS
9	Devi	SGMPDNS	SNDMGRS
9	Dhairya Mukhi	SRGMPDS	SNPMPRGRS
9	Dhowmya Raga	SRGMPDS	SNDPMGRS
9	Gaja Saari	SRGMPDNS	SPMGRS
9	Gaja Sri	SRGMPDNS	SPMGRS
9	Gnana Valli	SGPDS	SNPMGRS
9	Gnanayurthi	SGPNS	SNPGS
9	Kanakadri	SRGPDNS	SNDPGRS
9	Lalitha Srikanti	SRGMPDNS	SNDPMDMGRS
9	Lalitha Srikarni	SRGMPDNS	SNDPMDMGRS
9	Madhava Sri	SGRGMPNDS	SNDPMGRS
9	Marala Gamini	SRGMNS	SNMGRS
9	Marghavi	SGMPDNS	SNDPMGS
9	Naga Saka	SGRGPDPNS	SNDPMPGRS
9	Neela	SRGMDNS	SNDPMGRS
9	Nemy	SGMDNS	SNPMGRS
9	Purva Barasu	SMGMDNS	SNDPMGRS
9	Sanavi	SMPDNS	SNDPMS
9	Seetha Panchamam	SRGMPNS	SNDPMGRS
9	Seyyal	SRGMDS	SDMGRS
9	Shalmali	SRGPNS	SNPGRS
9	Silamban	SGPDNS	SNDPGS
9	Sindhu Chintamani	SRMGMDPDS	SDPMGRS
9	Siva Murthi	SGMPDNS	SNDPMGRS
9	Soma Raga	SRMGMDPDS	SDPMGMRGRS
9	Teeka	SRMGMPDNS	SNDPMGRGS
9	Tirumurthi Priya	SRGDNS	SNDGRS
9	Duni Binna Shadjam	SRGMPDNS	SNDPMGRS
9	Usanan	SRMPDS	SNDPMGRS
9	Vatsa	SRGMDNS	SNDMGRS
9	Yogagiri	SRGPDS	SNDPMGRS
9	Yogini	SRGPDS	SNDPMGRS
10	Aghora Priya	SRGMPDNS	SNDMGS
10	Alankara Priya	SRGMDNS	SNDMGRS
10	Amudha Valli	SGMDS	SNPMRS
10	Amsumali	SRMDS	SNPMGS
10	Bhagya Sabari	SRGMDNS	SNDMGRS
10	Bhuthanathan	SGPDS	SDPGS
10	Bhramara Vardhani	SRMPDNS	SNDPMGRS
10	Buddhan	SGPDNS	SNDPGS
10	Chitta Modhini	SRGMDS	SDMGRS
10	Gangalan	SGMPDNS	SNDPMGS
10	Gnana Bhodini	SRGDNS	SNDGRS
10	Gunavathi	SRMPDS	SDPMRS
10	Hindola Desika	SMRGMPDNS	SPNDMGRS
10	Idaikkan	SRGMPDNS	SDPMGRS
10	Indhra Dhanu	SRGMPDNS	SNDPMGS
10	Indhra Kalam	SRGMPDNS	SNDPMRS
